iter	Passed	Remaining
0	1	832
1	3	917
2	5	903
3	6	860
4	8	819
5	10	834
6	11	843
7	13	826
8	14	811
9	16	792
10	18	800
11	19	808
12	21	809
13	22	796
14	24	789
15	26	789
16	27	785
17	28	775
18	30	773
19	32	769
20	33	760
21	34	753
22	36	757
23	38	766
24	40	765
25	41	761
26	43	757
27	44	751
28	46	752
29	47	747
30	49	741
31	50	737
32	52	738
33	54	752
34	56	748
35	57	746
36	59	740
37	60	737
38	62	739
39	63	734
40	65	730
41	66	729
42	69	736
43	70	733
44	72	730
45	73	727
46	75	724
47	76	723
48	78	719
49	79	715
50	80	711
51	82	709
52	84	712
53	86	714
54	87	710
55	89	706
56	90	703
57	92	703
58	93	699
59	94	696
60	97	699
61	100	706
62	101	706
63	103	705
64	105	704
65	106	701
66	108	700
67	110	700
68	111	699
69	113	697
70	115	696
71	118	702
72	119	699
73	120	696
74	122	693
75	124	692
76	125	690
77	127	689
78	129	691
79	131	689
80	132	686
81	133	682
82	135	680
83	137	678
84	138	676
85	139	672
86	141	670
87	143	670
88	145	669
89	146	666
90	148	665
91	149	662
92	150	660
93	152	657
94	153	654
95	154	652
96	156	649
97	158	649
98	160	648
99	161	646
100	162	643
101	164	640
102	165	637
103	166	635
104	168	632
105	169	629
106	170	625
107	171	622
108	173	620
109	174	619
110	176	619
111	177	616
112	179	613
113	180	610
114	181	608
115	182	605
116	183	602
117	184	598
118	186	596
119	187	594
120	189	592
121	190	591
122	191	588
123	193	585
124	194	583
125	195	581
126	197	579
127	198	576
128	199	573
129	200	571
130	202	569
131	203	567
132	205	565
133	206	564
134	207	561
135	209	559
136	210	558
137	211	556
138	213	553
139	214	550
140	215	548
141	216	546
142	217	544
143	219	542
144	220	540
145	222	539
146	223	537
147	225	535
148	226	533
149	227	531
150	228	528
151	229	526
152	231	524
153	232	521
154	233	519
155	234	517
156	236	515
157	237	513
158	238	512
159	240	510
160	241	508
161	242	506
162	243	504
163	245	502
164	246	499
165	247	497
166	248	495
167	249	493
168	250	491
169	252	490
170	253	488
171	254	486
172	256	484
173	257	482
174	258	479
175	259	478
176	260	476
177	262	474
178	263	471
179	264	469
180	265	467
181	267	466
182	268	465
183	269	463
184	270	461
185	272	459
186	273	457
187	274	455
188	275	453
189	276	451
190	277	449
191	278	447
192	280	445
193	281	443
194	282	442
195	284	440
196	285	438
197	286	436
198	287	434
199	288	433
200	289	431
201	291	429
202	292	427
203	293	425
204	294	423
205	295	421
206	296	419
207	297	418
208	299	416
209	300	414
210	301	412
211	302	411
212	303	409
213	304	407
214	306	405
215	307	404
216	308	402
217	309	400
218	310	398
219	311	396
220	312	395
221	314	393
222	315	392
223	317	391
224	318	389
225	319	387
226	320	385
227	322	384
228	323	382
229	324	380
230	325	378
231	326	377
232	327	375
233	328	373
234	330	372
235	331	370
236	332	369
237	333	367
238	335	365
239	336	364
240	337	362
241	338	360
242	339	359
243	340	357
244	341	355
245	342	353
246	343	352
247	345	350
248	346	349
249	347	347
250	348	345
251	349	344
252	351	342
253	352	341
254	353	339
255	354	338
256	356	336
257	357	335
258	358	333
259	359	331
260	360	330
261	362	328
262	363	327
263	364	325
264	365	324
265	366	322
266	367	320
267	368	319
268	370	317
269	371	316
270	372	314
271	373	312
272	374	311
273	375	309
274	376	308
275	378	306
276	379	305
277	380	303
278	381	302
279	382	300
280	383	299
281	384	297
282	386	296
283	387	294
284	388	292
285	389	291
286	390	289
287	391	288
288	392	286
289	393	285
290	395	283
291	396	282
292	397	280
293	398	279
294	399	277
295	400	276
296	401	274
297	403	273
298	404	271
299	405	270
300	406	268
301	407	267
302	409	266
303	410	264
304	411	263
305	413	261
306	414	260
307	415	258
308	416	257
309	417	255
310	418	254
311	419	252
312	420	251
313	421	249
314	423	248
315	424	246
316	425	245
317	426	244
318	427	242
319	428	241
320	429	239
321	431	238
322	432	236
323	433	235
324	434	233
325	435	232
326	436	230
327	437	229
328	439	228
329	440	226
330	441	225
331	442	223
332	443	222
333	444	221
334	445	219
335	446	218
336	448	216
337	449	215
338	450	213
339	451	212
340	452	210
341	453	209
342	454	208
343	455	206
344	456	205
345	458	203
346	459	202
347	460	201
348	461	199
349	462	198
350	463	196
351	464	195
352	465	194
353	467	192
354	468	191
355	469	189
356	470	188
357	471	187
358	472	185
359	473	184
360	475	182
361	476	181
362	477	180
363	478	178
364	479	177
365	480	176
366	481	174
367	482	173
368	484	171
369	485	170
370	486	169
371	487	167
372	488	166
373	489	165
374	491	163
375	492	162
376	493	160
377	494	159
378	495	158
379	496	156
380	497	155
381	498	154
382	499	152
383	501	151
384	502	150
385	504	148
386	505	147
387	506	146
388	507	144
389	508	143
390	509	142
391	511	140
392	512	139
393	513	138
394	514	136
395	515	135
396	516	134
397	517	132
398	519	131
399	520	130
400	521	128
401	522	127
402	523	126
403	524	124
404	525	123
405	526	121
406	528	120
407	529	119
408	530	117
409	531	116
410	532	115
411	533	114
412	534	112
413	536	111
414	537	110
415	538	108
416	539	107
417	540	106
418	541	104
419	542	103
420	544	102
421	545	100
422	546	99
423	547	98
424	548	96
425	549	95
426	550	94
427	552	92
428	553	91
429	554	90
430	555	88
431	556	87
432	557	86
433	558	84
434	559	83
435	561	82
436	562	81
437	563	79
438	564	78
439	565	77
440	566	75
441	567	74
442	569	73
443	570	71
444	571	70
445	572	69
446	573	68
447	574	66
448	575	65
449	576	64
450	578	62
451	579	61
452	580	60
453	581	58
454	582	57
455	583	56
456	585	55
457	586	53
458	587	52
459	588	51
460	589	49
461	590	48
462	592	47
463	593	46
464	594	44
465	595	43
466	597	42
467	598	40
