Feature_1,Feature_2,Correlation
jitter_rap,jitter_local,0.9977342026007425
shannon_s1_f0,tsallis_sq_f0,0.9926615658601918
f0_cv,f0_std_hz,0.9859247710818227
shimmer_apq3,shimmer_local,0.9848663927723073
shannon_s1_amp,tsallis_sq_amp,0.9819854740554039
jitter_ppq5,jitter_local,0.9717893051156897
shimmer_apq11,shimmer_apq5,0.9672643087320699
shimmer_apq5,shimmer_local,0.9664764607137359
jitter_ppq5,jitter_rap,0.9609801338310362
shimmer_apq5,shimmer_apq3,0.9451827405791262
shimmer_apq11,shimmer_local,0.9307229040518225
dmfcc1_std,mfcc1_std,0.9020333141455255
shimmer_apq11,shimmer_apq3,0.8839429632206343
dmfcc2_std,mfcc2_std,0.8786425900941958
mfcc2_std,dmfcc1_std,0.8766784965661325
f0_min_hz,f0_mean_hz,0.8742345707540768
dmfcc2_std,dmfcc1_std,0.8638608162358956
mfcc2_std,mfcc1_std,0.8603771486111177
dmfcc3_std,dmfcc1_std,0.8495549209460729
dmfcc13_std,mfcc13_std,0.8308822872710929
dmfcc4_std,dmfcc3_std,0.829472884307873
f0_max_hz,f0_std_hz,0.8282687326321386
mfcc8_std,mfcc4_std,0.8278160086418959
dmfcc11_std,dmfcc9_std,0.8218491002009278
dmfcc12_std,mfcc12_std,0.8133896277618893
dmfcc3_std,mfcc3_std,0.8094702728659873
mfcc3_std,mfcc1_std,0.8072234535040613
mfcc1_std,hnr_mean_db,0.8060072691907808
spec_rolloff_mean_hz,spec_centroid_mean_hz,0.8034104013974418
dmfcc11_std,dmfcc8_std,0.7980899033747052
dmfcc5_std,mfcc5_std,0.7876531353964332
dmfcc4_std,dmfcc1_std,0.7873421623938337
f0_cv,f0_max_hz,0.7857319339150007
dmfcc5_std,dmfcc4_std,0.7844940869869509
dmfcc9_std,dmfcc8_std,0.7840134577412948
spec_centroid_mean_hz,mfcc3_mean,0.7832308884822856
dmfcc13_std,dmfcc12_std,0.7819020128106028
mfcc3_std,dmfcc1_std,0.781515448152765
dmfcc12_std,dmfcc11_std,0.7813941143869657
dmfcc9_std,mfcc9_std,0.7807352954758744
dmfcc8_std,mfcc8_std,0.7799530563617073
spec_rolloff_std_hz,spec_centroid_std_hz,0.776855393576149
dmfcc8_std,dmfcc6_std,0.7738053341732195
dmfcc1_std,hnr_mean_db,0.7721947843891783
mfcc9_std,dmfcc8_std,0.7696729895187111
dmfcc9_std,dmfcc7_std,0.7642238254812925
dmfcc6_std,mfcc6_std,0.7630380488639751
dmfcc9_std,dmfcc6_std,0.7582319067453251
mfcc5_std,mfcc4_std,0.757870361394382
dmfcc5_std,mfcc4_std,0.7524025266436736
dmfcc11_std,dmfcc6_std,0.7521336527117147
dmfcc7_std,dmfcc5_std,0.7518268988433017
dmfcc10_std,mfcc10_std,0.7488761729108857
dmfcc8_std,dmfcc5_std,0.7451308513967967
dmfcc10_std,dmfcc7_std,0.7450229717703087
dmfcc4_std,dmfcc2_std,0.7428056781660638
dmfcc11_std,dmfcc4_std,0.7408008009766774
dmfcc3_std,dmfcc2_std,0.7400829323941174
dmfcc12_std,dmfcc9_std,0.7393239523674214
dmfcc7_std,dmfcc6_std,0.7387034116815432
dmfcc4_std,mfcc4_std,0.7385142665293917
dmfcc3_std,mfcc1_std,0.7333496619230996
mfcc8_std,dmfcc5_std,0.7332221510977186
spec_flux_std,dmfcc2_std,0.7327937312716626
dmfcc12_std,dmfcc6_std,0.7284496677430478
mfcc12_std,dmfcc10_std,0.7253019616752401
dmfcc11_std,dmfcc5_std,0.7234893775273208
dmfcc11_std,mfcc11_std,0.7223874091427852
dmfcc7_std,dmfcc4_std,0.7220245909201557
dmfcc11_std,mfcc9_std,0.7210148989533889
mfcc12_std,mfcc9_std,0.7200240730832921
dmfcc8_std,dmfcc7_std,0.7166819572465885
mfcc8_std,mfcc5_std,0.713179163380512
dmfcc13_std,dmfcc11_std,0.712988284508748
dmfcc11_std,mfcc8_std,0.7088807891038051
dmfcc13_std,dmfcc10_std,0.7080145750909496
dmfcc8_std,dmfcc4_std,0.7072485061825287
mfcc9_std,mfcc8_std,0.706938244178401
spec_flux_mean,shimmer_local,0.705229559574903
dmfcc7_std,mfcc7_std,0.7043221397737727
spec_energy_low_mean,f1_mean_hz,0.7033593428801345
dmfcc4_std,mfcc2_std,0.7026765637824041
dmfcc9_std,dmfcc4_std,0.7014252138514661
mfcc11_std,dmfcc4_std,0.7009689128096894
mfcc13_std,mfcc11_std,0.6998117110981752
dmfcc9_std,dmfcc5_std,0.6990870759629535
mfcc1_std,mfcc1_mean,0.6988425495590374
dmfcc5_std,dmfcc3_std,0.6973392475705236
dmfcc2_std,mfcc1_std,0.697141695407713
spec_centroid_std_hz,mfcc5_std,0.6963295207927045
mfcc3_std,mfcc2_std,0.6950908335418563
dmfcc11_std,dmfcc7_std,0.6926302093279313
dmfcc4_std,mfcc3_std,0.6914224339319243
spec_flux_mean,shimmer_apq5,0.6911871518682333
spec_flux_std,dmfcc1_std,0.6908635902644348
mfcc9_std,dmfcc7_std,0.6890195998226284
f4_mean_hz,f3_std_hz,0.688622657735473
dmfcc3_std,mfcc2_std,0.6861817770564193
dmfcc9_std,mfcc8_std,0.6858383935896166
dmfcc4_std,mfcc1_std,0.6855925675117566
