Feature_1,Feature_2,Correlation
dmfcc13_std,mfcc13_std,0.8308822872710929
mfcc3_std,mfcc1_std,0.8072234535040613
dmfcc11_std,dmfcc6_std,0.7521336527117147
dmfcc7_std,dmfcc6_std,0.7387034116815432
dmfcc11_std,mfcc11_std,0.7223874091427852
dmfcc11_std,mfcc9_std,0.7210148989533889
dmfcc13_std,dmfcc11_std,0.712988284508748
mfcc11_std,mfcc13_std,0.6998117110981751
dmfcc11_std,dmfcc7_std,0.6926302093279313
dmfcc7_std,mfcc9_std,0.6890195998226286
mfcc9_std,mfcc11_std,0.6850379603120138
mfcc9_std,dmfcc6_std,0.6711608581839658
mfcc10_std,mfcc13_std,0.6589056265087875
dmfcc13_std,dmfcc6_std,0.655298208501233
mfcc9_std,mfcc10_std,0.6495544105380545
dmfcc13_std,dmfcc7_std,0.6406275154416117
dmfcc13_std,mfcc11_std,0.6275641953897818
dmfcc7_std,mfcc10_std,0.6103101065316991
dmfcc7_std,mfcc11_std,0.6086194994745162
dmfcc13_std,mfcc10_std,0.6062615605099757
mfcc9_std,mfcc13_std,0.6036636709138454
dmfcc11_std,mfcc13_std,0.6015073123497124
mfcc10_std,mfcc11_std,0.5997389192456525
dmfcc6_std,mfcc11_std,0.5908072870909764
spec_rolloff_std_hz,mfcc2_mean,0.5887438300001955
dmfcc7_std,mfcc13_std,0.5781004926550024
mfcc1_std,mfcc2_mean,0.5761900198195766
dmfcc13_std,mfcc9_std,0.5751095381847258
dmfcc6_std,mfcc13_std,0.5649344570772089
mfcc9_std,mfcc3_std,0.5603765201370889
mfcc3_std,mfcc2_mean,0.5433424609768993
dmfcc11_std,mfcc3_std,0.5365338348606965
dmfcc7_std,mfcc3_std,0.5294507092899121
mfcc3_std,mfcc11_std,0.5213247217632305
dmfcc11_std,mfcc10_std,0.518108304354973
dmfcc13_mean,dmfcc3_mean,0.5177577369751136
mfcc2_mean,mfcc13_std,0.5130400569285821
spec_rolloff_std_hz,mfcc3_std,0.5126807907862793
spec_centroid_mean_hz,mfcc2_mean,0.5116050746223593
spec_rolloff_std_hz,mfcc1_std,0.5052926770514786
mfcc9_std,mfcc1_std,0.5052816843833965
dmfcc6_std,mfcc2_mean,0.5024960552487064
mfcc1_std,mfcc11_std,0.4935757354743118
dmfcc13_std,mfcc2_mean,0.49231065143562663
dmfcc7_std,mfcc2_mean,0.48987999431424356
mfcc10_std,mfcc2_mean,0.4888683623992367
mfcc3_std,mfcc13_std,0.4881151787888578
dmfcc11_std,mfcc1_std,0.47895658194596685
dmfcc7_std,mfcc1_std,0.4759979426060267
dmfcc6_std,mfcc10_std,0.4696000556181731
spec_rolloff_std_hz,mfcc9_std,0.46898620350523434
mfcc3_std,mfcc10_std,0.4687827935082747
spec_rolloff_std_hz,mfcc10_std,0.4632365548512465
dmfcc11_std,mfcc2_mean,0.45434091513777275
dmfcc6_std,mfcc1_std,0.45427970049744393
mfcc9_std,mfcc2_mean,0.4509862208632319
dmfcc6_std,mfcc3_std,0.44960095826659385
mfcc1_std,mfcc13_std,0.44250771534633926
dmfcc13_std,mfcc3_std,0.43201891903824297
mfcc11_std,mfcc2_mean,0.4248131402923511
dmfcc13_std,mfcc1_std,0.4176176834413067
spec_rolloff_std_hz,dmfcc7_std,0.400353807847125
spec_rolloff_std_hz,dmfcc11_std,0.37700353767486255
dmfcc7_std,shimmer_local,0.36829412600207023
spec_rolloff_std_hz,dmfcc6_std,0.36726697094237215
spec_rolloff_std_hz,mfcc11_std,0.3460552668451659
mfcc1_std,mfcc10_std,0.3449834805558609
spec_rolloff_std_hz,mfcc13_std,0.3218516299045447
spec_rolloff_std_hz,spec_centroid_mean_hz,0.3217026260042885
shimmer_local,mfcc13_std,0.3122120971067928
dmfcc13_std,shimmer_local,0.2880983214886461
mfcc9_std,shimmer_local,0.2631255938859741
dmfcc11_std,shimmer_local,0.2481788990960379
