final_rank,feature,rf_rank,xgb_rank,cat_rank,average_rank
1,dmfcc6_std,4,4,1,3.0
2,mfcc13_std,10,3,2,5.0
3,mfcc10_std,1,2,17,6.666666666666667
4,mfcc11_std,8,5,9,7.333333333333333
5,dmfcc11_std,3,20,7,10.0
6,mfcc2_mean,5,1,30,12.0
7,mfcc9_std,2,16,21,13.0
8,spec_centroid_mean_hz,9,18,12,13.0
9,mfcc8_std,7,24,11,14.0
10,dmfcc3_mean,16,22,4,14.0
11,mfcc3_std,15,34,3,17.333333333333332
12,shimmer_apq3,17,13,26,18.666666666666668
13,dmfcc13_mean,20,38,5,21.0
14,dmfcc4_std,13,28,24,21.666666666666668
15,jitter_ppq5,43,10,14,22.333333333333332
16,shimmer_local,32,21,18,23.666666666666668
17,mfcc1_std,22,14,35,23.666666666666668
18,mfcc1_mean,25,41,6,24.0
19,f0_cv,29,27,20,25.333333333333332
20,dmfcc13_std,11,42,23,25.333333333333332
21,mfcc13_mean,19,44,16,26.333333333333332
22,spec_rolloff_std_hz,12,31,36,26.333333333333332
23,f4_mean_hz,24,19,39,27.333333333333332
24,shimmer_apq11,49,6,27,27.333333333333332
25,f3_mean_hz,37,29,19,28.333333333333332
26,dmfcc7_std,14,7,65,28.666666666666668
27,f0_std_hz,18,23,46,29.0
28,jitter_local,26,52,15,31.0
29,mfcc5_std,51,9,33,31.0
30,dmfcc10_std,27,37,31,31.666666666666668
31,jitter_rap,35,25,41,33.666666666666664
32,dmfcc9_std,30,17,55,34.0
33,spec_energy_mid_mean,42,54,8,34.666666666666664
34,spec_flux_std,31,47,28,35.333333333333336
35,mfcc10_mean,33,45,29,35.666666666666664
36,f0_min_hz,46,51,10,35.666666666666664
37,dmfcc9_mean,40,35,38,37.666666666666664
38,spec_flux_mean,38,60,22,40.0
39,mfcc4_std,21,76,25,40.666666666666664
40,hnr_mean_db,39,40,43,40.666666666666664
41,shannon_s1_f0,47,49,34,43.333333333333336
42,f0_mean_hz,36,26,72,44.666666666666664
43,mfcc12_mean,69,8,58,45.0
44,mfcc4_mean,59,33,45,45.666666666666664
45,dmfcc1_mean,52,39,48,46.333333333333336
46,spec_centroid_std_hz,48,11,82,47.0
47,dmfcc12_mean,73,56,13,47.333333333333336
48,mfcc2_std,28,67,47,47.333333333333336
49,f4_std_hz,60,32,52,48.0
50,dmfcc10_mean,64,48,32,48.0
51,mfcc8_mean,81,12,51,48.0
52,mfcc12_std,6,58,81,48.333333333333336
53,dmfcc12_std,23,82,42,49.0
54,dmfcc2_mean,55,36,68,53.0
55,mfcc6_std,34,64,61,53.0
56,f1_std_hz,84,15,62,53.666666666666664
57,dmfcc7_mean,57,62,44,54.333333333333336
58,f2_mean_hz,71,30,64,55.0
59,shimmer_apq5,54,43,69,55.333333333333336
60,mfcc6_mean,75,53,40,56.0
61,f1_mean_hz,41,57,71,56.333333333333336
62,mfcc5_mean,70,65,37,57.333333333333336
63,f3_std_hz,56,59,57,57.333333333333336
64,f2_std_hz,66,55,53,58.0
65,mfcc3_mean,67,46,74,62.333333333333336
66,mfcc7_mean,68,71,49,62.666666666666664
67,dmfcc8_mean,61,69,59,63.0
68,dmfcc11_mean,44,78,67,63.0
69,mfcc11_mean,53,77,60,63.333333333333336
70,dmfcc5_std,45,73,79,65.66666666666667
71,dmfcc1_std,50,68,80,66.0
72,dmfcc2_std,76,50,73,66.33333333333333
73,shannon_s1_amp,62,84,54,66.66666666666667
74,dmfcc4_mean,65,61,76,67.33333333333333
75,dmfcc6_mean,58,72,78,69.33333333333333
76,f0_max_hz,83,66,63,70.66666666666667
77,mfcc9_mean,82,80,50,70.66666666666667
78,dmfcc3_std,63,75,75,71.0
79,spec_rolloff_mean_hz,77,81,56,71.33333333333333
80,dmfcc5_mean,72,74,70,72.0
81,dmfcc8_std,74,79,66,73.0
82,mfcc7_std,78,70,77,75.0
83,spec_energy_high_mean,79,63,84,75.33333333333333
84,spec_energy_low_mean,80,83,83,82.0
