final_rank,feature,rf_rank,xgb_rank,cat_rank,average_rank
1,mfcc13_std,1,1,4,2.0
2,mfcc11_std,2,3,3,2.6666666666666665
3,dmfcc3_mean,6,4,2,4.0
4,shimmer_local,11,5,1,5.666666666666667
5,mfcc9_std,3,7,8,6.0
6,mfcc1_std,8,6,5,6.333333333333333
7,mfcc10_std,4,2,14,6.666666666666667
8,spec_rolloff_std_hz,9,9,7,8.333333333333334
9,mfcc3_std,10,11,6,9.0
10,mfcc2_mean,5,13,10,9.333333333333334
11,dmfcc6_std,7,10,13,10.0
12,dmfcc11_std,12,14,9,11.666666666666666
13,spec_centroid_mean_hz,14,12,11,12.333333333333334
14,dmfcc13_mean,16,8,15,13.0
15,dmfcc7_std,13,16,12,13.666666666666666
16,dmfcc13_std,15,15,16,15.333333333333334
