model,bal_acc_mean,bal_acc_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std
xgboost,0.7763888888888889,0.0493788578739755,0.8286458333333334,0.038919878525561266,0.7547425123895712,0.05724315576445916
random_forest,0.7527777777777778,0.1030589247727175,0.814236111111111,0.049968643717218014,0.7521303258145363,0.09982432071865509
svc_rbf,0.7513888888888889,0.10461938658481379,0.8128472222222222,0.06653995481227616,0.7432109685979655,0.09843917622430419
catboost,0.7388888888888889,0.10021196670859693,0.8256944444444445,0.07104577347747258,0.7392857142857143,0.08100138572762763
knn,0.7138888888888889,0.1149006548885913,0.8321180555555555,0.09289995282328135,0.6933333333333334,0.13888444437333106
logreg_l2,0.7138888888888889,0.08543642499572054,0.809375,0.08750000000000001,0.7095884507649213,0.06490750304962849
mlp,0.701388888888889,0.12179534037996528,0.7802083333333333,0.08932861072715978,0.7,0.11818736805705575
gradient_boosting,0.701388888888889,0.1452036670965014,0.7850694444444445,0.08283560852751344,0.7119047619047619,0.09416057111088184
lightgbm,0.701388888888889,0.1397197371106588,0.782986111111111,0.04706110176549967,0.7117757604714127,0.06892203335740299
decision_tree,0.6805555555555556,0.0418975086916621,0.6862847222222223,0.05130083484568452,0.6647435897435897,0.04752244357141189
linear_svc_cal,0.6763888888888889,0.06297657804863685,0.8006944444444445,0.08270451409224631,0.6590390002154709,0.06701960872846856
adaboost,0.6291666666666667,0.08878031563609382,0.7364583333333334,0.0969141945801084,0.6416666666666666,0.0816496580927726
