model,bal_acc_mean,bal_acc_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std
random_forest,0.7527777777777778,0.11194134266449936,0.8100694444444445,0.05220587436200293,0.7614285714285715,0.09442089875895579
catboost,0.7527777777777778,0.11194134266449936,0.7885416666666667,0.05888872510459405,0.7614285714285715,0.09442089875895579
xgboost,0.7402777777777778,0.07117293319621643,0.8196180555555556,0.03588504290107992,0.7277350427350427,0.06889445588415848
svc_rbf,0.7388888888888889,0.0743542156351343,0.7666666666666666,0.04778060392158213,0.7174786324786325,0.08012431899408237
gradient_boosting,0.7291666666666666,0.10785149254620655,0.784375,0.06945659615904022,0.7322541648238243,0.08404686245072718
decision_tree,0.7291666666666666,0.06972166887783961,0.7366319444444445,0.06640392379731044,0.7267543859649123,0.07530077169124914
logreg_l2,0.726388888888889,0.08523297773647921,0.796875,0.08326820371546392,0.7172074983839689,0.07240431223537384
adaboost,0.7166666666666666,0.07046472718869903,0.7927083333333333,0.050753865479499304,0.7178571428571429,0.05785273351804741
linear_svc_cal,0.7138888888888889,0.08441428555012635,0.7944444444444445,0.08156840507690538,0.6974272786037492,0.08320456641146781
mlp,0.7138888888888889,0.12433464898519479,0.7552083333333333,0.04166666666666664,0.7146825396825396,0.1054122430872874
lightgbm,0.7027777777777777,0.08268264481187342,0.7760416666666667,0.03532463532877745,0.6933333333333332,0.053333333333333365
knn,0.6902777777777778,0.07925190343159502,0.7583333333333333,0.07807984806344791,0.6847662141779789,0.0510864871915935
