model,bal_acc_mean,bal_acc_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std
knn,0.7402777777777778,0.026931554763424043,0.8121527777777778,0.051669653438161885,0.7417460317460317,0.04722482319100859
adaboost,0.7277777777777777,0.06233001575643577,0.820486111111111,0.06087390833558646,0.7295238095238095,0.060113271764036226
random_forest,0.726388888888889,0.09395296958493202,0.8295138888888889,0.062213851123402886,0.7264246589323988,0.07824816140280072
logreg_l2,0.7138888888888889,0.08644647955330798,0.8069444444444445,0.06023479970647378,0.704313725490196,0.0832112138658814
xgboost,0.6763888888888889,0.06158277577054268,0.7958333333333334,0.057659802096241865,0.6628205128205128,0.049254801826406513
linear_svc_cal,0.663888888888889,0.029000851413640425,0.8017361111111111,0.0755270192230307,0.6231259968102074,0.10588332087741176
mlp,0.6527777777777778,0.048907824615719464,0.8,0.06510208329999893,0.6407239819004524,0.06863935327256984
svc_rbf,0.6402777777777777,0.07019043760274044,0.7222222222222222,0.05366802175077795,0.6431332857029451,0.09901711264339962
gradient_boosting,0.6402777777777777,0.02421610524189263,0.7371527777777778,0.09437548544556695,0.6347478991596638,0.059045140774721706
decision_tree,0.5416666666666666,0.08936504412303005,0.5416666666666667,0.08936504412303009,0.5760504201680673,0.05671724219101378
